IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
17,0,370,370.58,13,13.61,101.98,542,567.0,0.96,42.44,36.68,13.04,12.94,3.25,2.84,0.6,34.44,33.51,4783,6866,5458.62
18,0,1153,1153.25,15,15.0,89.98,465,485.0,0.96,36.24,31.78,12.81,12.66,2.83,2.51,2.45,140.6,142.23,4668,6481,5326.75
19,0,770,770.26,23,23.43,103.64,563,591.0,0.95,42.72,36.91,13.04,13.13,3.28,2.81,2.14,122.57,122.81,4664,6382,5265.1
20,0,1091,1091.81,40,40.36,141.6,823,898.0,0.92,61.29,54.37,11.05,13.72,5.55,3.96,1.67,95.62,94.89,4685,7028,5465.84
21,0,405,405.27,33,33.9,109.78,608,629.0,0.97,46.69,40.17,12.73,13.1,3.67,3.07,0.82,46.74,46.42,4911,7470,5668.34
22,0,1604,1604.33,35,35.26,97.64,507,533.0,0.95,40.46,35.06,12.81,12.47,3.16,2.81,2.44,140.01,141.79,4751,6958,5514.02
23,0,236,236.95,49,49.39,117.54,677,705.0,0.96,49.93,42.87,13.89,13.72,3.59,3.12,1.0,57.26,55.25,4757,6417,5317.45
24,0,326,326.51,42,42.54,100.57,602,624.0,0.96,40.72,34.14,15.23,15.06,2.67,2.27,2.71,155.32,151.78,4723,6497,5338.79
25,0,498,498.07,51,51.72,115.54,638,670.0,0.95,48.55,42.18,13.89,13.17,3.49,3.2,1.01,57.62,56.52,4739,6851,5545.98
26,0,1312,1312.23,55,55.41,134.12,713,788.0,0.9,57.38,49.36,12.08,13.34,4.75,3.7,1.96,112.54,115.62,4711,6479,5275.88
27,0,437,437.35,39,39.11,106.53,608,636.0,0.96,44.55,38.17,14.14,13.95,3.15,2.74,0.16,9.04,6.35,4740,7338,5568.53
28,0,1663,1663.9,49,49.75,101.15,541,570.0,0.95,40.72,35.58,13.0,13.13,3.13,2.71,1.14,65.32,62.43,4771,6639,5357.11
29,0,934,934.18,43,43.45,109.15,568,603.0,0.94,44.94,39.44,12.65,12.65,3.55,3.12,2.78,159.15,157.64,4848,7228,5500.8
30,0,1045,1045.26,42,42.22,75.36,361,382.0,0.95,28.02,23.78,14.42,13.05,1.94,1.82,0.61,34.82,27.85,4853,6823,5527.25
31,0,1073,1073.27,70,70.58,155.2,905,970.0,0.93,66.31,59.19,12.08,13.59,5.49,4.36,1.97,113.09,114.05,4789,7104,5494.18
32,0,782,782.26,61,61.7,103.36,559,587.0,0.95,42.95,37.36,13.15,12.94,3.27,2.89,1.36,77.91,79.58,4713,6496,5334.82
33,0,961,961.56,71,71.05,133.64,770,835.0,0.92,55.71,48.78,12.65,14.06,4.4,3.47,1.2,68.96,69.55,4779,7152,5469.75
34,0,1020,1021.01,54,54.35,75.36,387,403.0,0.96,27.86,24.03,14.87,13.8,1.87,1.74,0.37,21.04,23.79,4798,6501,5353.66
35,0,87,86.92,73,73.82,121.11,685,717.0,0.96,52.61,46.14,13.15,13.05,4.0,3.54,1.42,81.25,85.94,4649,6603,5350.77
36,0,935,935.51,67,67.42,110.23,599,631.0,0.95,46.32,39.55,13.04,13.13,3.55,3.01,2.14,122.66,122.1,4788,7105,5581.93
37,0,358,358.2,65,65.88,99.64,602,622.0,0.97,39.82,34.38,17.03,15.05,2.34,2.28,2.46,141.12,138.97,4884,6560,5405.32
39,0,500,500.41,73,73.39,127.68,716,751.0,0.95,55.44,48.82,12.81,12.88,4.33,3.79,0.68,39.14,38.96,4789,7547,5846.14
40,0,1920,1920.93,78,77.96,128.37,691,735.0,0.94,54.71,48.17,13.04,12.61,4.2,3.82,1.03,59.22,59.12,4734,6840,5458.63
41,0,1647,1647.21,88,88.41,105.01,552,584.0,0.95,43.32,37.74,12.65,12.63,3.43,2.99,1.24,71.15,73.11,4845,7425,5663.99
42,0,465,465.85,86,86.76,110.12,625,646.0,0.97,46.69,40.38,12.73,13.4,3.67,3.01,0.82,46.74,46.11,4939,7683,5697.23
43,0,1667,1668.32,115,115.38,178.47,1022,1247.0,0.82,76.9,65.17,10.44,16.7,7.37,3.9,1.79,102.77,102.85,4707,7504,5525.34
44,0,1934,1934.29,109,110.05,147.6,827,910.0,0.91,64.12,56.25,10.0,13.63,6.41,4.13,1.63,93.58,92.27,4659,7032,5532.3
45,0,501,501.9,92,92.53,89.6,430,454.0,0.95,36.06,31.35,12.65,11.85,2.85,2.65,0.34,19.44,20.53,4994,7474,5969.56
46,0,1631,1631.67,113,113.5,151.88,891,950.0,0.94,64.51,57.55,12.65,13.69,5.1,4.2,1.9,109.0,109.47,4653,7297,5493.26
47,0,136,136.78,97,97.85,98.57,532,557.0,0.96,39.82,34.54,13.89,13.37,2.87,2.58,0.5,28.5,29.93,4731,6492,5302.05
48,0,24,24.61,115,115.91,125.54,753,790.0,0.95,52.0,45.23,15.23,14.43,3.41,3.13,1.18,67.38,62.86,4764,6560,5304.02
49,0,88,88.27,117,117.43,124.23,687,739.0,0.93,51.48,45.4,13.0,13.3,3.96,3.41,1.15,65.92,66.39,4790,6809,5543.85
50,0,508,508.57,104,104.72,86.08,421,448.0,0.94,33.29,29.53,13.04,12.41,2.55,2.38,0.57,32.74,27.13,4906,7562,5744.22
51,0,470,470.47,106,106.83,85.84,428,452.0,0.95,33.84,28.89,12.65,12.75,2.68,2.26,0.33,18.97,22.49,5099,7920,5965.79
52,0,105,106.02,115,115.66,93.15,486,506.0,0.96,37.74,32.87,13.89,12.73,2.72,2.58,1.01,57.99,58.8,4823,6837,5578.49
53,0,553,553.87,118,118.04,86.04,452,465.0,0.97,34.71,30.31,14.32,12.77,2.42,2.37,1.77,101.63,94.1,4724,6566,5328.85
54,0,333,333.58,125,125.47,94.28,516,539.0,0.96,38.21,33.49,13.15,13.37,2.91,2.51,1.47,83.99,88.29,4699,6723,5360.82
55,0,478,478.68,120,120.4,86.33,442,461.0,0.96,34.67,30.05,13.04,12.65,2.66,2.38,0.58,33.23,33.9,5117,7544,5947.76
56,0,1019,1019.84,143,143.09,146.57,866,940.0,0.92,63.35,54.79,13.15,14.13,4.82,3.88,1.78,101.84,103.23,4735,6678,5399.51
57,0,496,496.42,125,126.0,83.25,397,418.0,0.95,33.12,28.5,11.18,12.02,2.96,2.37,0.5,28.89,28.78,4894,6875,5782.79
58,0,467,467.94,143,143.07,85.25,435,456.0,0.95,33.84,28.87,13.04,12.92,2.6,2.23,0.6,34.16,30.66,4798,6967,5570.55
59,0,1942,1942.81,164,164.34,146.43,874,943.0,0.93,62.8,55.64,12.17,13.98,5.16,3.98,1.41,80.84,84.45,4773,7143,5558.16
60,0,553,553.93,152,152.84,88.04,448,468.0,0.96,35.51,31.22,13.15,12.37,2.7,2.52,1.4,80.27,88.03,4845,6710,5506.19
61,0,1997,1997.55,163,163.2,135.1,789,847.0,0.93,56.86,50.49,11.66,14.01,4.88,3.61,0.97,55.75,55.55,4771,7124,5446.54
